user_email,between_type,within_type,secondary_type,track_name,artist_name,artist_popularity,genres,track_popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,timeSignature,valence,times
selenium_test0@gmail.com,1,1,0,低等動物,陳奕迅,63,"c-pop,cantopop,mandopop",30,0.222,0.515,0.735,6.53e-05,11,0.287,-6.955,0,0.03,159.996,4,0.544,1
selenium_test0@gmail.com,1,1,0,白玫瑰,陳奕迅,63,"c-pop,cantopop,mandopop",46,0.585,0.492,0.529,0.00114,9,0.13,-7.545,0,0.0334,127.855,4,0.35,2
selenium_test0@gmail.com,1,1,0,陀飛輪,陳奕迅,63,"c-pop,cantopop,mandopop",54,0.934,0.54,0.289,0.0,0,0.115,-9.089,1,0.0341,133.857,4,0.359,1
selenium_test0@gmail.com,1,1,0,K 歌之王,陳奕迅,63,"c-pop,cantopop,mandopop",47,0.695,0.293,0.357,0.0,2,0.371,-8.475,1,0.0429,73.784,4,0.344,1
selenium_test0@gmail.com,1,1,0,富士山下,陳奕迅,63,"c-pop,cantopop,mandopop",48,0.485,0.477,0.431,0.0,5,0.367,-10.414,1,0.0349,104.22,4,0.514,1
selenium_test0@gmail.com,1,1,0,信心花舍,陳奕迅,63,"c-pop,cantopop,mandopop",31,0.846,0.426,0.269,7.64e-06,9,0.102,-11.831,1,0.0317,113.559,3,0.355,1
selenium_test0@gmail.com,1,1,0,粵語殘片,陳奕迅,63,"c-pop,cantopop,mandopop",38,0.393,0.513,0.671,0.0,2,0.0911,-6.161,1,0.0329,143.839,4,0.328,1
selenium_test0@gmail.com,1,1,0,最後派對,陳奕迅,63,"c-pop,cantopop,mandopop",38,0.074,0.509,0.621,2.46e-06,2,0.208,-6.08,1,0.0307,142.391,4,0.284,1
selenium_test0@gmail.com,1,1,0,十面埋伏,陳奕迅,63,"c-pop,cantopop,mandopop",47,0.198,0.542,0.465,0.0,0,0.112,-6.334,1,0.0298,138.017,4,0.428,1
selenium_test0@gmail.com,1,1,0,綿綿,陳奕迅,63,"c-pop,cantopop,mandopop",39,0.877,0.47,0.276,0.0,7,0.111,-9.669,1,0.0338,151.959,4,0.292,2
selenium_test0@gmail.com,1,1,0,一直都在 - 《我的麻吉4個鬼》電影主題曲,韋禮安,55,"chinese r&b,mandopop,taiwan singer-songwriter",60,0.196,0.555,0.576,2.13e-05,10,0.12,-7.929,1,0.0341,121.001,4,0.328,1
selenium_test0@gmail.com,1,1,0,想和你看五月的晚霞,陳華,50,taiwan singer-songwriter,70,0.68,0.44,0.55,0.0,1,0.142,-7.17,1,0.073,181.919,4,0.201,2
selenium_test0@gmail.com,1,1,0,不如不見,陳奕迅,63,"c-pop,cantopop,mandopop",39,0.783,0.219,0.218,0.116,0,0.138,-13.552,1,0.0327,78.916,4,0.136,1
selenium_test0@gmail.com,1,1,0,無人之境,陳奕迅,63,"c-pop,cantopop,mandopop",47,0.415,0.549,0.591,0.0,2,0.118,-6.03,1,0.0353,124.058,4,0.27,2
selenium_test0@gmail.com,1,1,0,逃離演算法,守夜人,40,"taiwan indie,taiwan pop",52,0.867,0.561,0.271,0.000115,3,0.114,-14.363,1,0.0485,120.787,4,0.152,1
selenium_test0@gmail.com,1,1,0,Love U Like That,Lauv,75,pop,78,0.0947,0.711,0.674,0.0,10,0.0641,-3.559,1,0.0317,95.0,4,0.253,1
selenium_test0@gmail.com,1,1,0,太陽,邱振哲,36,"taiwan pop,taiwan singer-songwriter",49,0.327,0.612,0.595,0.0,3,0.127,-5.349,1,0.0324,124.03,4,0.227,1
selenium_test0@gmail.com,1,1,0,爛泥,草東沒有派對,52,"mandopop,taiwan indie,taiwan punk",55,0.0401,0.708,0.734,0.000327,11,0.124,-8.62,0,0.0951,114.955,4,0.425,1
selenium_test0@gmail.com,1,1,0,炙愛 - 女聲版,陳忻玥,52,"mandopop,taiwan singer-songwriter",61,0.263,0.407,0.497,0.0,6,0.112,-5.828,0,0.0357,152.194,4,0.312,1
selenium_test0@gmail.com,1,1,0,只是不够爱,莫文蔚,53,mandopop,44,0.425,0.593,0.651,0.0,2,0.248,-5.146,1,0.0444,77.955,4,0.344,1
selenium_test0@gmail.com,1,1,0,"起风了 - 电视剧""加油你是最棒的""主题曲",吳青峰,47,"mandopop,taiwan singer-songwriter",62,0.484,0.548,0.396,0.0,3,0.144,-7.788,1,0.0265,73.963,4,0.501,1
selenium_test0@gmail.com,1,1,0,各自安好,劉若英,46,"mandopop,taiwan singer-songwriter",38,0.759,0.383,0.374,8.51e-06,8,0.116,-10.376,1,0.0515,91.853,4,0.173,1
selenium_test0@gmail.com,1,1,0,Have A Nice Day,魏如萱,47,"chinese indie,mandopop,taiwan indie,taiwan pop,taiwan singer-songwriter",49,0.61,0.711,0.845,0.00092,3,0.137,-5.006,1,0.0304,119.966,4,0.806,1
selenium_test0@gmail.com,1,1,0,最好的時光,安溥,46,"chinese indie,taiwan pop,taiwan singer-songwriter",65,0.903,0.61,0.236,5.24e-05,10,0.113,-12.22,1,0.0341,139.702,3,0.284,1
selenium_test0@gmail.com,1,1,0,愛人錯過,告五人,59,"mandopop,taiwan indie",65,0.0295,0.549,0.923,8.76e-05,1,0.14,-3.857,1,0.0393,140.045,4,0.498,1
selenium_test0@gmail.com,1,1,0,落在生命里的光,尹昔眠,43,"chinese viral pop,zhongguo feng",59,0.793,0.635,0.454,0.0,0,0.104,-8.142,1,0.0387,130.045,3,0.36,1
selenium_test0@gmail.com,1,1,0,給你給我,毛不易,52,"chinese minyao,chinese singer-songwriter,mainland chinese pop",52,0.901,0.522,0.266,3.62e-05,6,0.104,-13.099,1,0.032,117.641,4,0.374,1
selenium_test0@gmail.com,1,1,0,不染 (電視劇《香蜜沉沉燼如霜》主題曲),毛不易,52,"chinese minyao,chinese singer-songwriter,mainland chinese pop",55,0.489,0.402,0.497,0.0,7,0.112,-7.759,0,0.034,135.83,4,0.339,1
selenium_test0@gmail.com,1,1,0,像我這樣的人,毛不易,52,"chinese minyao,chinese singer-songwriter,mainland chinese pop",58,0.512,0.45,0.224,5.88e-06,1,0.0706,-11.985,1,0.034,123.196,4,0.308,1
selenium_test0@gmail.com,1,1,0,消愁,毛不易,52,"chinese minyao,chinese singer-songwriter,mainland chinese pop",58,0.582,0.533,0.384,0.0,5,0.372,-10.877,0,0.0395,112.024,4,0.238,1
selenium_test0@gmail.com,1,1,0,黑月光 - 電視劇《長月燼明》片尾曲,張碧晨,52,mainland chinese pop,58,0.819,0.215,0.484,4.18e-05,9,0.0948,-7.063,1,0.0343,185.555,3,0.199,1
selenium_test0@gmail.com,1,1,0,後排慶功宴 - 陳柏宇 feat. 九龍搖擺俱樂部演唱會2023,陳柏宇,47,cantopop,17,0.238,0.627,0.38,0.000972,11,0.74,-14.629,1,0.0401,89.0,4,0.605,1
selenium_test0@gmail.com,1,1,0,I Miss You - Jason Chan feat. Kowloon Swing Social Club Live 2023,陳柏宇,47,cantopop,19,0.271,0.517,0.462,1.59e-05,1,0.956,-12.913,1,0.062,204.967,4,0.625,1
